F1,id,Lat,Long,Pr,d_o,m_n,N_o_r,r_p_m,ava_2020,room_type
299,77936,40.76248,-73.9913,150,296,3,46,0.44,150,0
301,79782,40.70495,-73.95436,120,10,20,80,0.76,265,0
302,80493,40.72329,-73.98486,75,139,2,192,1.82,327,0
303,80684,40.73776,-73.95327,349,9,3,8,0.08,17,2
304,80700,40.73738,-73.95482,349,6,3,7,0.07,22,0
305,80924,40.67542,-73.98142,165,84,30,35,0.49,291,1
306,81739,40.73842,-73.95312,249,9,3,2,0.02,22,0
308,82550,40.69441,-73.99771,200,245,3,90,0.91,88,1
309,82638,40.72399,-73.98374,169,55,3,258,2.46,321,1
310,82928,40.6824,-73.94615,185,26,3,66,1.38,300,1
312,83446,40.68819,-73.97258,130,257,35,6,0.06,0,1
313,83847,40.72451,-73.98094,225,358,2,36,0.34,72,1
314,84010,40.73813,-73.95394,179,9,3,16,0.16,22,2
316,84659,40.72843,-73.98895,159,314,1,416,3.96,200,1
317,84905,40.71271,-73.99776,95,290,3,239,2.27,69,0
318,85094,40.66966,-73.94735,79,219,15,12,0.11,150,1
319,86215,40.71965,-73.98766,199,200,2,162,1.54,137,1
320,87279,40.80783,-73.93878,69,18,1,127,1.21,356,0
321,89621,40.68048,-73.94911,90,13,3,234,2.31,354,1
322,93313,40.68314,-73.93963,120,51,2,88,0.84,312,1
323,94035,40.75961,-73.91117,80,15,1,48,1.2,356,0
325,94477,40.69305,-73.93185,175,92,2,395,3.8,157,1
326,94783,40.67174,-73.95663,120,20,5,108,1.03,337,1
327,95747,40.71055,-73.95098,140,27,7,13,0.12,63,1
328,95883,40.69465,-73.95458,200,361,5,5,0.08,157,1
329,96471,40.68413,-73.96542,165,4,4,12,0.12,356,0
330,98663,40.74893,-73.99544,130,146,30,19,0.19,0,1
331,99070,40.79406,-73.94102,65,203,7,133,1.27,146,2
333,100002,40.85295,-73.93361,67,21,2,148,1.42,0,0
335,100186,40.66918,-73.99187,130,176,5,100,0.97,61,1
336,100368,40.7395,-74.00123,279,56,31,32,0.31,95,1
337,101053,40.71125,-73.95613,100,356,5,33,0.32,10,1
338,102995,40.78558,-73.9696,212,342,21,45,0.43,3,1
339,103161,40.71577,-73.96053,250,3,3,132,1.75,343,1
340,103311,40.73861,-73.95485,599,9,3,9,0.09,0,0
341,103806,40.72577,-73.98745,249,14,5,171,1.65,356,1
342,105469,40.58615,-73.81245,70,2,3,14,0.13,364,0
343,105510,40.67086,-73.94872,100,30,30,16,0.16,365,1
344,106363,40.82773,-73.95231,60,101,3,404,3.88,1,0
345,106647,40.68505,-73.95684,135,177,2,94,0.9,6,1
346,107630,40.72911,-73.95493,175,23,3,263,2.55,0,1
347,107895,40.77944,-73.98567,120,232,5,55,0.59,117,1
350,112359,40.78491,-73.9508,225,75,2,58,0.56,337,1
351,112435,40.69088,-73.97307,95,15,2,172,1.66,335,0
352,113265,40.67555,-73.95057,55,62,2,265,2.56,0,0
355,114229,40.71895,-73.99434,211,0,1,67,0.73,1,1
356,114969,40.75579,-73.96699,145,355,6,39,0.38,0,1
357,115535,40.82399,-73.95328,65,54,14,37,0.36,252,0
358,115678,40.81822,-73.94095,99,85,1,340,3.27,284,1
361,116940,40.67705,-73.94925,80,18,3,241,2.32,0,1
362,117425,40.69263,-73.99438,175,9,14,95,0.91,278,1
363,118061,40.68448,-73.92747,102,52,4,79,0.8,326,1
366,121687,40.72063,-73.95952,200,354,2,50,0.51,42,1
367,121861,40.67644,-73.98082,165,269,2,23,0.22,16,1
368,123784,40.80481,-73.94794,110,25,2,159,1.53,347,1
369,125053,40.72533,-73.99143,395,202,2,79,0.79,150,1
370,125163,40.68569,-73.93038,99,42,2,38,0.5,357,0
371,125594,40.64302,-73.97255,39,6,1,85,0.92,365,0
372,126443,40.72939,-73.98857,189,50,2,432,4.18,201,1
374,127387,40.66862,-73.9926,260,207,30,3,0.03,314,1
375,128975,40.81333,-73.94453,122,45,1,122,1.18,344,1
376,130439,40.82907,-73.94446,59,77,1,7,0.08,350,0
377,131154,40.72473,-73.95199,165,249,2,191,1.86,0,1
378,132516,40.70925,-73.85262,97,126,3,31,1.1,185,1
379,132570,40.73215,-74.00922,170,221,4,24,0.24,0,1
380,132661,40.75505,-73.99187,76,343,12,71,1.15,19,0
382,133025,40.7463,-73.97926,130,202,4,118,1.14,82,0
383,134934,40.71823,-73.95849,225,328,7,26,0.41,129,1
384,135393,40.651,-73.94886,50,213,2,282,2.75,154,0
385,135465,40.68626,-73.97598,170,53,3,98,0.99,160,1
390,139624,40.67456,-73.95151,64,310,21,74,0.74,52,1
391,140133,40.71363,-73.96019,249,18,3,166,1.63,225,1
393,140973,40.72274,-73.97581,185,22,2,75,0.73,0,1
394,141154,40.6858,-73.9828,110,179,3,251,2.48,256,1
395,141335,40.67535,-73.97654,650,7,1,35,0.39,355,1
397,141984,40.72094,-73.99706,175,55,3,72,0.7,332,1
399,144087,40.80473,-73.9532,259,8,8,20,0.19,365,1
405,148259,40.71541,-73.94144,451,6,2,78,0.88,358,1
406,148825,40.79765,-73.96245,150,93,2,208,2.24,317,1
408,149777,40.89747,-73.8639,69,28,1,219,2.6,344,1
409,150804,40.72008,-73.98404,250,362,4,26,0.26,89,1
412,151199,40.75725,-73.91098,129,40,2,443,4.42,0,0
413,151478,40.7102,-73.94495,98,246,2,8,0.08,97,0
415,152259,40.81156,-73.94571,55,18,3,122,1.19,337,0
416,152263,40.80497,-73.95016,300,37,2,222,2.22,288,1
418,153405,40.72937,-73.95671,125,311,2,120,1.19,8,1
419,153780,40.72587,-73.98438,175,70,3,182,1.78,314,0
420,154934,40.82426,-73.9463,75,0,7,38,0.4,339,0
421,157673,40.68101,-73.94081,72,102,31,88,0.87,116,1
422,158061,40.68669,-73.91989,165,26,1,27,0.26,365,0
423,158176,40.71534,-73.95914,140,356,5,124,1.29,0,1
425,158955,40.70867,-73.94284,139,137,2,408,4.03,266,1
426,159749,40.67963,-73.93908,88,115,1,72,0.73,252,0
427,159815,40.6798,-73.93908,80,108,1,46,0.46,326,0
428,159913,40.74346,-73.99882,150,16,2,47,1.83,344,0
429,160994,40.72972,-73.97995,200,26,2,113,1.13,97,1
432,161996,40.83096,-73.94633,295,41,3,240,2.34,299,1
433,162493,40.71323,-73.95745,450,364,3,37,0.72,2,1
434,162508,40.67212,-73.9506,130,228,7,31,0.35,4,1
436,163809,40.80523,-73.95139,198,141,5,48,0.47,108,1
437,163814,40.72636,-73.98917,99,14,2,306,3.03,295,1
439,164989,40.72351,-73.99683,140,166,1,75,0.74,0,0
440,165080,40.6809,-73.99233,500,364,7,7,0.07,0,1
441,165461,40.80525,-73.95916,75,150,5,60,0.59,313,0
445,166541,40.84468,-73.94303,75,31,2,37,0.36,318,0
449,168084,40.72578,-73.97879,190,329,3,167,1.72,0,1
450,168123,40.66085,-73.98537,105,272,28,106,1.05,0,1
459,170761,40.68768,-73.97611,85,187,2,47,0.69,0,0
460,172499,40.77938,-73.94874,250,20,365,26,0.26,0,1
461,173072,40.80827,-73.95329,49,97,3,186,4.47,345,2
462,173151,40.72901,-73.95812,91,56,3,255,2.51,0,0
464,173742,40.73476,-73.98452,400,31,2,110,1.12,332,1
465,174527,40.69055,-73.92357,150,273,2,11,0.38,32,1
466,174966,40.7735,-73.98697,2000,1,30,30,0.31,1,1
467,176135,40.67505,-73.95969,97,173,3,33,0.33,270,1
468,176653,40.72974,-73.98201,100,361,4,51,0.5,21,0
469,177421,40.72315,-73.95226,500,121,2,24,0.24,58,1
